"","genotype","master_id","date","site","tag_id","project","attachment","geno_layout","array","frag_n","size_tle","lat","long","region","visit_1","1_month_date","n_old_dead_1","n_new_dead_1","n_missing_1","n_broken_1","per_partial_dead_old_1","per_partial_dead_new_1","snails1","disease1","bleach1","condition1","comments1","visit_12","12_month_date","n_old_dead_12","n_new_dead_12","n_missing_12","n_broken_12","per_partial_dead_old_12","per_partial_dead_new_12","snails12","disease12","bleach12","condition12","comments12","month","day","year","monitor_month_1","monitor_day_1","monitor_year_1","monitor_month_12","monitor_day_12","monitor_year_12","1_month_duration","12_month_duration","irma","alive1","propalive1","alive12","propalive12","total_n"
"47","1","42508-Q-2-322-1",2016-05-18,"Q-2","322","Restoration","nails/cable ties","mixed","18",5,"10-25",24.6214,-81.51753,"Lower Keys",1,2016-07-13,0,0,0,0,0,0,"N","N","N",1,NA,12,2017-03-23,0,0,0,0,0,0,"N","N","N",1,"0",5,18,2016,7,13,2016,3,23,2017,56,309,0,5,1,5,1,1585
"48","1","42131-Q-1-77-1",2015-05-07,"Q-1","77","Restoration","nails/cable ties","mixed","8",5,"10-25",24.6214,-81.51683,"Lower Keys",1,2015-06-24,0,0,0,0,0,0,"N","N","N",1,NA,12,2016-04-25,0,0,3,0,0,0,"N","N","N",1,"0",5,7,2015,6,24,2015,4,25,2016,48,354,0,5,1,2,0.4,1585
"49","1","42112-P-1-36-1",2015-04-18,"P-1","36","Restoration","nails/cable ties","mixed/grouped","4",5,"25-50",24.6214,-81.38015,"Lower Keys",1,2015-06-22,0,0,0,1,0,0,"N","N","N",1,NA,12,2016-05-06,0,0,5,0,0,0,"N","N","N",4,"0",4,18,2015,6,22,2015,5,6,2016,65,384,0,5,1,0,0,1585
"50","1","42559-R-1-155-1",2016-07-08,"R-1","155","Restoration","nails/cable ties","mixed","16",5,"10-25",24.6214,-81.85935,"Key West",1,2016-09-06,0,0,0,1,0,0,"N","N","N",1,NA,12,2017-05-12,0,0,0,0,0,0,"N","N","N",1,"0",7,8,2016,9,6,2016,5,12,2017,60,308,0,5,1,5,1,1585
"51","1","43355-T-4A-649A-1",2018-09-12,"T-4A","649A","Restoration","nails/cable ties","grouped","15",5,"10-25",24.52282,-81.84532,"Key West",1,2018-10-24,0,0,0,0,0,0,"N","N","N",1,NA,12,2019-07-12,0,0,0,0,0,0,"N","N","N",1,"0",9,12,2018,10,24,2018,7,12,2019,42,303,0,5,1,5,1,1585
"52","1","42559-R-1-115-1",2016-07-08,"R-1","115","Restoration","nails/cable ties","mixed","12",5,"10-25",24.6214,-81.85935,"Key West",1,2016-09-06,0,0,0,0,0,0,"N","N","N",1,NA,12,2017-05-12,0,0,1,0,0,0,"N","N","N",1,"0",7,8,2016,9,6,2016,5,12,2017,60,308,0,5,1,4,0.8,1585
"53","1","43829-U-8-1043-1",2019-12-30,"U-8","1043","Restoration","nails/cable ties","grouped","10",5,"25-50",24.53061,-81.44202,"Lower Keys",1,2020-01-27,0,0,0,0,0,0,"N","N","N",1,NA,12,2020-12-05,0,0,2,0,15,5,"Y","N","N",2,"0",12,30,2019,1,27,2020,12,5,2020,28,341,0,5,1,3,0.6,1585
"54","1","43803-C-6-645-1",2019-12-04,"C-6","645","Restoration","nails/cable ties","grouped","10",5,"25-50",24.55262,-81.48681,"Lower Keys",1,2020-01-02,0,0,0,0,5,0,"N","N","N",1,NA,12,2020-11-16,1,0,1,0,50,10,"Y","N","N",3,"0",12,4,2019,1,2,2020,11,16,2020,29,348,0,5,1,3,0.6,1585
"55","1","43656-C-4-411-1",2019-07-10,"C-4","411","Restoration","nails/cable ties","grouped","7",5,"25-50",24.55262,-81.48829,"Lower Keys",1,2019-08-13,0,0,1,0,0,20,"N","N","N",2,"base of 1, RTL",12,2020-06-25,1,0,1,0,0,0,"N","N","N",1,"0",7,10,2019,8,13,2019,6,25,2020,34,351,0,4,0.8,3,0.6,1585
"56","1","42472-S-2-211-1",2016-04-12,"S-2","211","Restoration","nails/cable ties","mixed","2",5,"10-25",24.55279,-81.87835,"Key West",1,2016-07-26,0,0,0,0,0,0,"N","N","N",1,NA,12,2017-05-12,0,0,0,0,0,0,"N","N","N",1,"0",4,12,2016,7,26,2016,5,12,2017,105,395,0,5,1,5,1,1585
"57","1","42557-U-1-101-1",2016-07-06,"U-1","101","Restoration","nails/cable ties","mixed","11",5,"10-25",24.52282,-81.4535,"Lower Keys",1,2016-09-19,1,0,0,0,0,0,"N","N","N",1,NA,12,2017-03-13,1,0,0,0,10,0,"N","N","N",1,"1 LOOSE",7,6,2016,9,19,2016,3,13,2017,75,250,0,4,0.8,4,0.8,1585
"58","1","42503-Q-2-282-1",2016-05-13,"Q-2","282","Restoration","nails/cable ties","mixed","14",5,"10-25",24.6214,-81.51753,"Lower Keys",1,2016-07-13,0,0,0,0,0,0,"N","N","N",1,NA,12,2017-03-23,0,0,0,0,0,5,"N","N","N",2,"1 LOOSE",5,13,2016,7,13,2016,3,23,2017,61,314,0,5,1,5,1,1585
"59","1","42156-O-1-173-1",2015-06-01,"O-1","173","Restoration","nails/cable ties","mixed/grouped","18",5,"10-25",24.59536,-81.32977,"Lower Keys",1,2015-06-22,0,0,0,0,0,5,"N","N","N",2,"worm predation",12,2016-04-26,5,0,0,0,0,0,"N","N","N",4,"0",6,1,2015,6,22,2015,4,26,2016,21,330,0,5,1,0,0,1585
"60","1","43635-C-3-343-1",2019-06-19,"C-3","343","Restoration","nails/cable ties","grouped","10",5,"25-50",24.55262,-81.48806,"Lower Keys",1,2019-07-16,0,0,0,0,0,0,"N","N","N",1,NA,12,2020-06-01,0,0,1,0,0,0,"N","N","N",1,"0",6,19,2019,7,16,2019,6,1,2020,27,348,0,5,1,4,0.8,1585
"61","1","42112-P-1-31-1",2015-04-18,"P-1","31","Restoration","nails/cable ties","mixed/grouped","4",5,"25-50",24.6214,-81.38015,"Lower Keys",1,2015-06-22,0,0,0,0,0,0,"N","N","N",1,NA,12,2016-05-06,0,0,1,0,10,30,"Y","N","N",3,"0",4,18,2015,6,22,2015,5,6,2016,65,384,0,5,1,4,0.8,1585
"62","1","42144-Q-1-181-1",2015-05-20,"Q-1","181","Restoration","nails/cable ties","mixed","19",5,"10-25",24.6214,-81.51683,"Lower Keys",1,2015-06-24,0,0,0,0,0,0,"N","N","N",1,NA,12,2016-04-29,0,0,0,0,5,0,"N","N","N",1,"0",5,20,2015,6,24,2015,4,29,2016,35,345,0,5,1,5,1,1585
"63","1","43753-Y-1-66-1",2019-10-15,"Y-1","66","Restoration","nails/cable ties","grouped","7",5,"25-50",24.54123,-81.36023,"Lower Keys",1,2019-11-19,0,0,0,0,0,0,"N","N","N",1,NA,12,2020-09-11,0,0,0,0,0,0,"N","N","N",1,"0",10,15,2019,11,19,2019,9,11,2020,35,332,0,5,1,5,1,1585
"64","1","43656-C-4-418-1",2019-07-10,"C-4","418","Restoration","nails/cable ties","grouped","7",5,"25-50",24.55262,-81.48829,"Lower Keys",1,2019-08-13,0,0,0,0,0,0,"N","N","N",1,NA,12,2020-06-25,0,0,0,0,0,0,"N","N","N",1,"0",7,10,2019,8,13,2019,6,25,2020,34,351,0,5,1,5,1,1585
"65","1","43355-T-4A-647A-1",2018-09-12,"T-4A","647A","Restoration","nails/cable ties","grouped","15",5,"10-25",24.52282,-81.84532,"Key West",1,2018-10-24,1,0,0,0,0,0,"N","N","N",1,NA,12,2019-07-12,0,0,0,0,0,5,"N","N","N",1,"WORMS",9,12,2018,10,24,2018,7,12,2019,42,303,0,4,0.8,5,1,1585
"66","1","42896-U-2-350-1",2017-06-10,"U-2","350","Restoration","nails/cable ties","grouped","15",5,"10-25",24.52282,-81.45287,"Lower Keys",1,2017-07-12,0,0,0,0,0,0,"N","N","N",1,NA,12,2018-04-11,0,0,5,0,0,0,"N","N","N",4,"0",6,10,2017,7,12,2017,4,11,2018,32,305,1,5,1,0,0,1585
"67","1","43623-R-7-869-1",2019-06-07,"R-7","869","Restoration","nails/cable ties","grouped","7",5,"25-50",24.6214,-81.85681,"Key West",1,2019-07-30,0,0,0,0,0,0,"N","N","N",1,NA,12,2020-05-19,0,0,0,0,0,0,"N","N","N",1,"0",6,7,2019,7,30,2019,5,19,2020,53,347,0,5,1,5,1,1585
"68","1","42472-S-2-210-1",2016-04-12,"S-2","210","Restoration","nails/cable ties","mixed","1",5,"10-25",24.55279,-81.87835,"Key West",1,2016-07-26,0,0,0,0,5,0,"N","N","N",1,NA,12,2017-05-12,0,0,0,0,0,0,"N","N","N",1,"0",4,12,2016,7,26,2016,5,12,2017,105,395,0,5,1,5,1,1585
